,Project,LongName,Name,AD,CD,TCD,CLOC,TCLOC,PDA,TPDA,LLOC,LOC,TLOC,NG,TLLOC,TNA,TNG,TNM,TNOS,TNPM,NCL,ReuseRate,ReuseRate_lbl
495,org.apache.commons/commons-lang3,org.apache.commons.lang3.arch,arch,1.0,0.5646519808438577,0.6406061917504946,-0.9959662288930582,-0.9987482351571256,-0.9877709838799333,-0.99805085496589,-0.9995548230156501,-0.998538631614017,-0.9994157676147578,-0.9945872801082544,-0.999787098687362,-0.997945674503538,-0.9995603912517859,-0.9995936095095375,-0.99985060008964,-0.9995232277481451,-0.9977603583426652,2.0,1
496,org.apache.commons/commons-lang3,org.apache.commons.lang3.builder,builder,0.9801979999999999,0.2906108768560367,0.3532620810466671,-0.8127579737335835,-0.9418948226423882,-0.6664813785436354,-0.9468414990697263,-0.9614709919497162,-0.9207832328800315,-0.968330366764745,-0.7916102841677943,-0.9815738982990706,-0.9769459027619265,-0.9830750631937576,-0.9754133753270173,-0.9707010175793894,-0.9802139515480199,-0.9126539753639418,5.307617129104063,4
497,org.apache.commons/commons-lang3,org.apache.commons.lang3.concurrent,concurrent,1.0,0.540493173187208,0.6152746228699617,-0.9056597873671044,-0.970724228442232,-0.8543635352973875,-0.9767874545937805,-0.9889235726512939,-0.9668276948238786,-0.9867382275660819,-0.918809201623816,-0.9947028125784123,-0.9856197215247661,-0.9934058687767886,-0.9913134032663635,-0.9938580036851978,-0.9924312405018028,-0.93505039193729,1.0,0
498,org.apache.commons/commons-lang3,org.apache.commons.lang3.event,event,1.0,0.33398597511526673,0.3987427730108315,-0.9908692933083177,-0.9971665477975246,-0.9866592551417455,-0.9978736599627891,-0.9982828887746503,-0.9962595026804374,-0.9985046072626442,-0.9945872801082544,-0.9991788092226821,-0.9984021912805295,-0.9995603912517859,-0.9989332249625359,-0.9991036005378396,-0.9992848416222175,-0.9910414333706606,0.0,0
499,org.apache.commons/commons-lang3,org.apache.commons.lang3.exception,exception,1.0,0.3695210756974592,0.43600288372770746,-0.9675422138836773,-0.9899276596364059,-0.9166203446359088,-0.9867103747674315,-0.9943398926275512,-0.9872414210861071,-0.9948993182946468,-0.8944519621109608,-0.9972931118821743,-0.997945674503538,-0.9914276294098252,-0.9962408879632216,-0.9959994024003586,-0.9958878393277512,-0.9888017917133258,2.0,1
500,org.apache.commons/commons-lang3,org.apache.commons.lang3.math,math,1.0,0.14946810386130283,0.2052676962690958,-0.9528455284552846,-0.9853669660228326,-0.8954974986103391,-0.9833436697085142,-0.9871428647138943,-0.9784504951994427,-0.9913848426507804,-0.9702300405953992,-0.9938512073278604,-0.991782698014152,-0.9975821518848225,-0.994767722435295,-0.9878820072707957,-0.99457671563515,-0.9932810750279956,5.307617129104063,4
501,org.apache.commons/commons-lang3,org.apache.commons.lang3.mutable,mutable,1.0,0.3631951516458811,0.42936987504934,-0.9475922451532207,-0.983736760646066,-0.7554196775986659,-0.9610170993177992,-0.9907360789447186,-0.9786852227640307,-0.9914786830857156,-0.9106901217861976,-0.9955696250655812,-0.9963478657840675,-0.9927464556544675,-0.9892814508140509,-0.9946880031871981,-0.9874251318573259,-0.9820828667413214,5.307617129104063,4
502,org.apache.commons/commons-lang3,org.apache.commons.lang3.reflect,reflect,0.928572,0.11684707648975512,0.1710631190581562,-0.9286741713570982,-0.9778660805690194,-0.8799332962757087,-0.9808629396651014,-0.9792780713237126,-0.965025592876397,-0.9860177751946432,-0.86468200270636,-0.9900899508045895,-0.9961196073955718,-0.9890097812946478,-0.9908562139645932,-0.9825700104579937,-0.9927292231592121,-0.9708846584546472,5.307617129104063,4
503,org.apache.commons/commons-lang3,org.apache.commons.lang3.text,text,1.0,0.18863075892421977,0.2447743309088397,-0.8705440900562852,-0.9504631044738464,-0.6464702612562535,-0.9335518738371578,-0.9673112900063067,-0.9416361268437472,-0.9719205201787207,-0.918809201623816,-0.980666533180923,-0.9808262953663547,-0.9934058687767886,-0.9785121028167941,-0.9685098188941087,-0.9775321076313359,-0.9574468085106383,0.0,0
504,org.apache.commons/commons-lang3,org.apache.commons.lang3.time,time,1.0,0.16422098837896648,0.22073674240982633,-0.8772045028142589,-0.9618939493180793,-0.7776542523624236,-0.9645609993798174,-0.9674702817864317,-0.9425371778174879,-0.9770272561056825,-0.7970230040595399,-0.9844429969408109,-0.9627938826751883,-0.9835146719419716,-0.9806456528917223,-0.9772580136451918,-0.9847432879406418,-0.883538633818589,5.307617129104063,4
505,org.apache.commons/commons-lang3,org.apache.commons.lang3.tuple,tuple,1.0,0.443407868619891,0.5134764250910409,-0.982895559724828,-0.9946921289220753,-0.9399666481378544,-0.9904314698325507,-0.9974667309700088,-0.9934124844776933,-0.9973664136002034,-0.9539918809201624,-0.9987884901495124,-0.995891349007076,-0.9962633256401803,-0.9975616570572249,-0.9989210006473996,-0.9971393664888704,-0.986562150055991,5.307617129104063,4
506,org.apache.commons/commons-lang3,org.apache.commons.lang3.text.translate,translate,0.9655180000000001,0.18081565012869638,0.23813697271658674,-0.9698248905565978,-0.9906360226870248,-0.9366314619232907,-0.989899884823248,-0.9922624000339182,-0.9881273283460036,-0.9952534902587574,-1.0,-0.9962995724231971,-0.9940652818991098,-1.0,-0.9974092606233014,-0.9966136020318388,-0.997318156083316,-0.973124300111982,5.307617129104063,4
507,org.apache.httpcomponents/httpclient,<root_package>,<root_package>,-1.0,-1.0,-0.1738098370780835,-1.0,-0.8520685656618585,-1.0,-0.8566492424913618,-1.0,-1.0,-0.8627356605761197,-1.0,-0.8738610413408727,-0.7420680209997718,-0.9030662710187933,-0.8740189479566178,-0.8454872927076243,-0.8790190410918084,-1.0,0.0,0
508,org.apache.httpcomponents/httpclient,org,org,-1.0,-1.0,-0.1738098370780835,-1.0,-0.8520685656618585,-1.0,-0.8566492424913618,-1.0,-1.0,-0.8627356605761197,-1.0,-0.8738610413408727,-0.7420680209997718,-0.9030662710187933,-0.8740189479566178,-0.8454872927076243,-0.8790190410918084,-1.0,0.0,0
509,org.apache.httpcomponents/httpclient,org.apache,apache,-1.0,-1.0,-0.1738098370780835,-1.0,-0.8520685656618585,-1.0,-0.8566492424913618,-1.0,-1.0,-0.8627356605761197,-1.0,-0.8738610413408727,-0.7420680209997718,-0.9030662710187933,-0.8740189479566178,-0.8454872927076243,-0.8790190410918084,-1.0,0.0,0
510,org.apache.httpcomponents/httpclient,org.apache.hc,hc,-1.0,-1.0,-0.1738098370780835,-1.0,-0.8520685656618585,-1.0,-0.8566492424913618,-1.0,-1.0,-0.8627356605761197,-1.0,-0.8738610413408727,-0.7420680209997718,-0.9030662710187933,-0.8740189479566178,-0.8454872927076243,-0.8790190410918084,-1.0,0.0,0
511,org.apache.httpcomponents/httpclient,org.apache.hc.client5,client5,-1.0,-1.0,-0.1738098370780835,-1.0,-0.8520685656618585,-1.0,-0.8566492424913618,-1.0,-1.0,-0.8627356605761197,-1.0,-0.8738610413408727,-0.7420680209997718,-0.9030662710187933,-0.8740189479566178,-0.8454872927076243,-0.8790190410918084,-1.0,0.0,0
512,org.apache.httpcomponents/httpclient,org.apache.hc.client5.http,http,0.36363600000000007,0.2857036190507798,-0.1738098370780835,-0.9672607879924953,-0.8520685656618585,-0.9166203446359088,-0.8566492424913618,-0.9931951518106514,-0.985575612563225,-0.8627356605761197,-0.9242219215155616,-0.8738610413408727,-0.7420680209997718,-0.9030662710187933,-0.8740189479566178,-0.8454872927076243,-0.8790190410918084,-0.9776035834266518,0.0,0
513,org.apache.httpcomponents/httpclient,org.apache.hc.client5.http.async,async,-0.6153840000000019,0.28360465670973145,-0.22661076091483312,-0.9944652908067543,-0.9941681343366859,-0.9944413563090606,-0.9975192699565872,-0.9988446597310919,-0.997470999787988,-0.9939609139452941,-1.0,-0.9944797731080297,-0.9904131476831773,-0.995164303769645,-0.9901450306062838,-0.9947378031573181,-0.9898685896480824,-0.9977603583426652,0.0,0
514,org.apache.httpcomponents/httpclient,org.apache.hc.client5.http.auth,auth,-0.17482600000000004,0.08029153176547199,0.13273302792496655,-0.9679799874921826,-0.9900635100844699,-0.934408004446915,-0.9895454948170461,-0.9900153162081521,-0.9831601902050459,-0.9932677055710947,-0.8998646820027063,-0.9952249277022626,-0.9885870805752112,-0.9918672381580393,-0.9934469533412918,-0.994239803456118,-0.9929080127536577,-0.9686450167973124,5.307617129104063,4
515,org.apache.httpcomponents/httpclient,org.apache.hc.client5.http.classic,classic,-0.10526400000000002,0.6372113667521879,0.35862285691295415,-0.9874609130706692,-0.9890155209136913,-0.981100611450806,-0.9874191547798352,-0.9988658586351086,-0.995653754126662,-0.993727826413358,-1.0,-0.9965530263668138,-0.9906414060716732,-0.9971425431366084,-0.9933453557186762,-0.9967464019521588,-0.9926696266277303,-0.9977603583426652,0.0,0
